Bytes in file:	259
Name of file:	data-fuzzy-1.bin
Clear|Fuzzy:	fuzzy
It's                 @ Offset: ec
no                   @ Offset: 2c
trick                @ Offset: 72
for                  @ Offset: e6
talented             @ Offset: 3a
people               @ Offset: c4
to                   @ Offset: 7a
be                   @ Offset: 101
interesting,         @ Offset: 54
but                  @ Offset: fb
it's                 @ Offset: 9d
a                    @ Offset: 28
gift                 @ Offset: df
to                   @ Offset: 07
be                   @ Offset: da
interested.          @ Offset: b1
We                   @ Offset: a4
want                 @ Offset: 84
an                   @ Offset: 7f
organization         @ Offset: 63
filled               @ Offset: 31
with                 @ Offset: 4d
interested           @ Offset: cd
people.              @ Offset: 93
                     @ Offset: ae
--                   @ Offset: bf
Randy                @ Offset: 45
S.                   @ Offset: a9
Nelson               @ Offset: 1f
(dean                @ Offset: f3
of                   @ Offset: 1a
Pixar                @ Offset: 8b
University)          @ Offset: 0c
