Bytes in file:	134
Name of file:	data-clear-1.bin
Clear|Fuzzy:	clear
The                  @ Offset: 14
programmer           @ Offset: 56
must                 @ Offset: 68
seek                 @ Offset: 4f
both                 @ Offset: 1a
perfection           @ Offset: 34
of                   @ Offset: 41
part                 @ Offset: 77
and                  @ Offset: 0e
adequacy             @ Offset: 7e
of                   @ Offset: 72
collection.          @ Offset: 26
                     @ Offset: 6f
--                   @ Offset: 63
Alan                 @ Offset: 07
J.                   @ Offset: 21
Perlis               @ Offset: 46
