Bytes in file:	144
Name of file:	data-clear-3.bin
Clear|Fuzzy:	clear
All                  @ Offset: 4a
non-trivial          @ Offset: 11
abstractions,        @ Offset: 3a
to                   @ Offset: 07
some                 @ Offset: 50
degree,              @ Offset: 77
are                  @ Offset: 61
leaky.               @ Offset: 67
                     @ Offset: 81
--                   @ Offset: 1f
Joel                 @ Offset: 70
Spolsky              @ Offset: 57
(The                 @ Offset: 84
Law                  @ Offset: 34
of                   @ Offset: 0c
Leaky                @ Offset: 8b
Abstractions)        @ Offset: 24
